line,bus0,bus1,capacity_MVA,max_flow_MW,loading_pct,length_km
N-L20,WRK,THI,1000.0,862.25,86.225,5.48494563258555
N-L100,LFD,TRK,600.0,514.1170409263455,85.68617348772423,30.1243374261581
N-L123,WIR,OTA,600.0,510.5858444855206,85.09764074758677,4.16992021424707
N-L121,HLY,BOB,600.0,506.5823242354992,84.4303873725832,41.4691687713726
S-L2,NMA,INV,1000.0,843.0226188293284,84.30226188293284,10.0327049693854
N-L87,CST,HUI,600.0,504.22894988407916,84.03815831401319,13.6025601653621
N-L86,JRD,CST,600.0,500.01,83.33500000000001,5.0
N-L107,TMI,EDG,600.0,491.81072327096115,81.96845387849353,46.9269385834415
N-L97,HTI,ARI,600.0,488.6386999826215,81.43978333043692,45.2790226676566
S-L1,MAN,NMA,1000.0,801.9198,80.19198,120.899391533664
N-L76,FHL,RDF,600.0,471.834323561556,78.63905392692601,7.3489729613692
S-L68,TKB,NWD,1000.0,748.6419226963299,74.864192269633,170.000100001007
N-L112,KPO,CBG,600.0,447.45799084992177,74.57633180832029,7.59298413864778
N-L60,HAY,UHT,600.0,444.0306490996265,74.00510818327109,10.9561764518734
S-L69,NWD,ISL,1000.0,739.0153324806798,73.90153324806799,25.00000000001
N-L12,WRK,TAB,1000.0,735.5564876919086,73.55564876919087,6.15559453370958
N-L83,SFD,KPA,600.0,437.4460624269478,72.90767707115796,18.1032159402671
N-L31,OHK,MAT,1000.0,725.3178881942918,72.53178881942918,71.5534915004651
N-L80,WGN,WVY,600.0,425.24365917182337,70.8739431953039,46.0855776236271
N-L11,RPO,WRK,1000.0,707.0514312593538,70.70514312593538,63.0744560306183
N-L43,BOB,GLN,1000.0,703.7194229398119,70.37194229398119,23.7711198976506
N-L55,WWD,WIL,600.0,420.5678967596302,70.09464945993837,9.25508945708612
N-L79,MTN,WGN,600.0,418.44208802270697,69.74034800378449,27.5379507329514
N-L69,WDV,BPE,600.0,414.3367830678654,69.0561305113109,18.6868208775837
N-L125,MNG,ROS,600.0,409.98257302904256,68.33042883817376,10.5657519923792
N-L44,OTA,PAK,1000.0,681.6777583582834,68.16777583582835,5.05410431543607
N-L19,WRK,ARA,1000.0,671.8476901586776,67.18476901586776,3.44180024734283
N-L124,OTA,MNG,600.0,396.52998116490375,66.08833019415063,3.22838590588632
S-L30,OHC,BEN,1000.0,644.976588496895,64.4976588496895,24.7144849643233
